epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80548,1.68323,3.72249,1.88212,0.36182,0.2499,0.21978,0.15379,1.76092,2.83961,2.06609,0.00027151,0.00027151,0.00027151
2,12.2816,1.40818,2.30029,1.67598,0.40191,0.33342,0.31634,0.19904,1.63493,3.13758,2.15409,0.000551793,0.000551793,0.000551793
3,17.0242,1.47557,2.07039,1.70671,0.1867,0.51636,0.24008,0.11236,2.10878,6.01529,2.80109,0.000826416,0.000826416,0.000826416
4,21.2575,1.5641,2.04495,1.75013,0.51217,0.13719,0.07918,0.02808,2.58192,19.7276,5.22492,0.00109538,0.00109538,0.00109538
5,25.5299,1.54947,2.02386,1.72182,0.30897,0.38955,0.18207,0.08283,2.35912,12.4945,3.16292,0.00135869,0.00135869,0.00135869
6,30.5169,1.4711,1.89238,1.64091,0.35958,0.30933,0.19378,0.0578,2.46886,8.00257,3.63538,0.00135826,0.00135826,0.00135826
7,35.4781,1.46921,1.74421,1.64259,0.50728,0.21247,0.13385,0.06273,2.5777,5.40318,3.49633,0.00134412,0.00134412,0.00134412
8,39.7436,1.49155,1.72783,1.65419,0.2865,0.39069,0.1843,0.07827,2.41862,3.48067,2.9607,0.00132997,0.00132997,0.00132997
9,44.2977,1.55031,1.69869,1.71095,0.3798,0.35123,0.29704,0.13285,1.98624,3.41519,2.52255,0.00131582,0.00131582,0.00131582
10,49.2574,1.43831,1.64621,1.60968,0.43997,0.31408,0.31879,0.15704,1.9861,3.15342,2.39336,0.00130168,0.00130168,0.00130168
11,53.506,1.39224,1.61155,1.59567,0.50599,0.29862,0.32715,0.17414,2.24201,2.953,2.79347,0.00128753,0.00128753,0.00128753
12,57.9363,1.36839,1.50474,1.5469,0.52604,0.48798,0.41624,0.20966,2.15463,2.68744,2.48408,0.00127338,0.00127338,0.00127338
13,62.8411,1.35737,1.50305,1.56008,0.38014,0.39618,0.37949,0.23536,1.71459,2.52309,2.08887,0.00125923,0.00125923,0.00125923
14,68.0371,1.29936,1.46599,1.51787,0.42795,0.60154,0.51492,0.33575,1.69408,1.70678,2.02919,0.00124509,0.00124509,0.00124509
15,72.5976,1.32093,1.3509,1.50698,0.4613,0.43587,0.45136,0.28897,1.70257,2.01796,2.10651,0.00123094,0.00123094,0.00123094
16,76.6547,1.32131,1.37606,1.55045,0.61434,0.4792,0.51904,0.29608,1.7387,2.03935,2.26816,0.00121679,0.00121679,0.00121679
17,81.1205,1.25276,1.31492,1.51337,0.45326,0.55259,0.54185,0.38024,1.53472,2.26749,1.9889,0.00120265,0.00120265,0.00120265
18,86.9279,1.24645,1.31664,1.49913,0.73489,0.55784,0.60854,0.39071,1.56734,1.75331,1.95924,0.0011885,0.0011885,0.0011885
19,91.4417,1.25046,1.26863,1.4734,0.61886,0.67516,0.66924,0.44997,1.60074,1.42477,1.92928,0.00117435,0.00117435,0.00117435
20,95.9002,1.27686,1.31352,1.51245,0.3381,0.36328,0.34664,0.21533,1.77039,2.18304,2.05908,0.00116021,0.00116021,0.00116021
21,99.9744,1.23351,1.28118,1.47772,0.69547,0.63744,0.68241,0.41655,1.54995,1.49618,1.88242,0.00114606,0.00114606,0.00114606
22,103.963,1.26255,1.2474,1.49326,0.59002,0.62011,0.62952,0.42714,1.64773,1.59958,1.90732,0.00113191,0.00113191,0.00113191
23,108.013,1.22951,1.26193,1.47251,0.55903,0.56145,0.58781,0.35444,1.77869,1.79896,2.06525,0.00111776,0.00111776,0.00111776
24,112.125,1.18508,1.20896,1.44374,0.61299,0.6891,0.66414,0.39579,1.66671,1.66081,2.00291,0.00110362,0.00110362,0.00110362
25,116.212,1.17903,1.19004,1.44829,0.589,0.68422,0.6312,0.43615,1.55536,1.51008,1.84716,0.00108947,0.00108947,0.00108947
26,120.289,1.22745,1.16941,1.44904,0.67138,0.73805,0.74195,0.45199,1.50114,1.22544,1.72695,0.00107532,0.00107532,0.00107532
27,124.776,1.13664,1.15086,1.39426,0.55706,0.63735,0.63138,0.44448,1.62399,1.36951,1.8806,0.00106118,0.00106118,0.00106118
28,128.886,1.13451,1.15271,1.41715,0.64253,0.57391,0.61893,0.45815,1.34692,1.37011,1.69649,0.00104703,0.00104703,0.00104703
29,132.944,1.15655,1.13673,1.39275,0.74835,0.53327,0.66255,0.4121,1.64854,1.70335,1.97778,0.00103288,0.00103288,0.00103288
30,137.045,1.16135,1.16018,1.40584,0.7144,0.65437,0.7366,0.49035,1.35367,1.38742,1.7608,0.00101873,0.00101873,0.00101873
31,141.423,1.10018,1.06758,1.36775,0.65304,0.71516,0.69851,0.52487,1.27567,1.21887,1.61954,0.00100459,0.00100459,0.00100459
32,146.199,1.09214,1.03857,1.35368,0.72758,0.71114,0.77836,0.48834,1.29093,1.24933,1.64633,0.00099044,0.00099044,0.00099044
33,150.298,1.10364,1.05705,1.36198,0.77821,0.70838,0.7705,0.49479,1.37763,1.18886,1.63324,0.000976293,0.000976293,0.000976293
34,154.318,1.0872,1.01845,1.35919,0.78249,0.74001,0.83288,0.54758,1.26119,0.99891,1.59412,0.000962146,0.000962146,0.000962146
35,158.838,1.04339,0.99576,1.32703,0.81506,0.73245,0.78428,0.53399,1.34558,1.03832,1.6784,0.000947999,0.000947999,0.000947999
36,162.839,1.08585,1.04739,1.35132,0.6814,0.66956,0.73682,0.49354,1.46746,1.50608,1.80392,0.000933851,0.000933851,0.000933851
37,167.173,1.02535,0.98503,1.3205,0.73046,0.71823,0.76947,0.54349,1.27558,1.17897,1.69174,0.000919704,0.000919704,0.000919704
38,171.186,1.02239,0.96446,1.3108,0.71362,0.67567,0.72919,0.52465,1.28386,1.16766,1.72437,0.000905557,0.000905557,0.000905557
39,175.223,0.99174,0.95215,1.28283,0.83976,0.60461,0.68635,0.44764,1.62844,1.39838,2.02208,0.00089141,0.00089141,0.00089141
40,179.35,1.02356,0.92207,1.2955,0.71059,0.66494,0.71563,0.43673,1.73345,1.39917,2.12567,0.000877263,0.000877263,0.000877263
41,183.357,1.01083,0.94043,1.32529,0.69858,0.7471,0.73075,0.5488,1.3379,0.95664,1.82221,0.000863116,0.000863116,0.000863116
42,187.765,0.99052,0.93636,1.30352,0.83175,0.74661,0.82076,0.55817,1.27675,0.9804,1.73591,0.000848969,0.000848969,0.000848969
43,192.48,0.99966,0.9163,1.29001,0.73661,0.67146,0.72302,0.5007,1.55443,1.35318,2.15564,0.000834822,0.000834822,0.000834822
44,196.737,0.98915,0.87425,1.28538,0.80514,0.76377,0.84526,0.5825,1.45244,0.91852,2.15135,0.000820675,0.000820675,0.000820675
45,201.492,0.98893,0.92806,1.28654,0.74179,0.75385,0.78148,0.51984,1.50777,1.21931,2.00337,0.000806528,0.000806528,0.000806528
46,206.158,1.02008,0.95831,1.32605,0.79249,0.71316,0.7567,0.55804,1.42448,1.00273,1.94352,0.00079238,0.00079238,0.00079238
47,210.431,0.97027,0.88743,1.27472,0.77641,0.73225,0.75622,0.54636,1.41713,1.16276,1.97253,0.000778233,0.000778233,0.000778233
48,214.493,0.94648,0.84005,1.26606,0.75407,0.67981,0.7482,0.52463,1.36245,1.29231,1.76893,0.000764086,0.000764086,0.000764086
49,218.567,0.95172,0.89503,1.2691,0.75671,0.6569,0.74071,0.5111,1.47007,1.1276,1.87984,0.000749939,0.000749939,0.000749939
50,222.764,0.94151,0.81403,1.27926,0.74573,0.72174,0.73448,0.5421,1.37685,0.9672,1.88606,0.000735792,0.000735792,0.000735792
51,227.102,0.94746,0.81528,1.27918,0.77715,0.75732,0.79577,0.56025,1.27512,0.94552,1.825,0.000721645,0.000721645,0.000721645
52,231.138,0.89328,0.8046,1.24165,0.80233,0.73189,0.75135,0.55398,1.33161,1.04694,1.82126,0.000707498,0.000707498,0.000707498
53,235.188,0.90684,0.80625,1.23845,0.75217,0.71573,0.74621,0.55532,1.36746,1.01136,1.80919,0.000693351,0.000693351,0.000693351
54,239.198,0.92244,0.84705,1.24896,0.80449,0.69585,0.73174,0.55353,1.36331,0.92882,1.82334,0.000679204,0.000679204,0.000679204
55,243.442,0.9547,0.83114,1.28429,0.76249,0.74818,0.75261,0.54404,1.43217,0.99498,1.89177,0.000665057,0.000665057,0.000665057
56,247.466,0.94468,0.80603,1.27669,0.74467,0.73023,0.73751,0.52785,1.51593,1.03079,2.04016,0.000650909,0.000650909,0.000650909
57,251.691,0.88818,0.7993,1.23234,0.76349,0.82328,0.82816,0.58719,1.34253,0.78063,1.89297,0.000636762,0.000636762,0.000636762
58,256.667,0.91933,0.81764,1.25748,0.82548,0.71992,0.7687,0.57277,1.36027,1.02671,2.03575,0.000622615,0.000622615,0.000622615
59,260.879,0.88889,0.79399,1.23487,0.80038,0.73881,0.77631,0.5797,1.25198,1.10736,1.86317,0.000608468,0.000608468,0.000608468
60,264.892,0.9027,0.80246,1.24518,0.91343,0.64953,0.78969,0.55236,1.17992,1.36559,1.60163,0.000594321,0.000594321,0.000594321
61,268.968,0.88784,0.78488,1.23088,0.71771,0.7355,0.77334,0.54261,1.21201,1.34031,1.66193,0.000580174,0.000580174,0.000580174
62,273.072,0.88886,0.7469,1.24563,0.71002,0.75937,0.75586,0.57128,1.26968,1.06541,1.73796,0.000566027,0.000566027,0.000566027
63,277.145,0.87438,0.76031,1.23653,0.71957,0.75364,0.76316,0.55613,1.37749,1.12935,1.7952,0.00055188,0.00055188,0.00055188
64,281.237,0.85275,0.725,1.19225,0.7437,0.70637,0.75097,0.57102,1.39119,0.98341,1.79484,0.000537733,0.000537733,0.000537733
65,285.34,0.8648,0.75585,1.2125,0.75192,0.75242,0.77439,0.59556,1.28081,0.77362,1.71273,0.000523586,0.000523586,0.000523586
66,289.772,0.85772,0.73745,1.20703,0.73453,0.82242,0.81882,0.58226,1.31164,0.78362,1.74964,0.000509438,0.000509438,0.000509438
67,294.46,0.818,0.71219,1.18636,0.77438,0.8098,0.77506,0.57976,1.21751,0.84401,1.70167,0.000495291,0.000495291,0.000495291
68,298.995,0.84568,0.70839,1.20603,0.80304,0.70762,0.76508,0.58689,1.3215,0.92326,1.88934,0.000481144,0.000481144,0.000481144
69,303.21,0.81564,0.71651,1.18092,0.77459,0.73968,0.78636,0.58168,1.31417,0.90569,1.84522,0.000466997,0.000466997,0.000466997
70,307.264,0.79106,0.66887,1.16019,0.70993,0.74771,0.75796,0.58167,1.25094,0.89572,1.84316,0.00045285,0.00045285,0.00045285
71,311.36,0.8105,0.70823,1.18839,0.77356,0.71787,0.77947,0.57792,1.27852,0.92047,1.85835,0.000438703,0.000438703,0.000438703
72,315.413,0.80996,0.70392,1.19166,0.73993,0.74546,0.75604,0.56888,1.38406,0.98075,2.04387,0.000424556,0.000424556,0.000424556
73,319.459,0.83763,0.70161,1.2091,0.76053,0.76777,0.76942,0.59167,1.29056,0.92195,1.96445,0.000410409,0.000410409,0.000410409
74,323.548,0.80935,0.70725,1.18039,0.80987,0.77631,0.78479,0.58578,1.35822,0.87119,2.00454,0.000396262,0.000396262,0.000396262
75,327.665,0.82342,0.69367,1.17736,0.73188,0.77457,0.74359,0.58168,1.2768,0.88619,1.84562,0.000382115,0.000382115,0.000382115
76,331.716,0.77624,0.65786,1.15229,0.79448,0.74484,0.75173,0.59063,1.33127,0.92422,1.85166,0.000367967,0.000367967,0.000367967
77,336.411,0.76705,0.67405,1.14299,0.82914,0.75797,0.76643,0.58808,1.31869,0.92811,1.86678,0.00035382,0.00035382,0.00035382
78,340.545,0.77325,0.66378,1.15231,0.79442,0.70506,0.76435,0.54122,1.37771,1.30963,1.8278,0.000339673,0.000339673,0.000339673
79,344.609,0.78999,0.68496,1.16603,0.83186,0.74561,0.79772,0.53536,1.39979,1.19057,1.80686,0.000325526,0.000325526,0.000325526
80,348.821,0.77457,0.68731,1.16237,0.78865,0.77556,0.78682,0.58527,1.17565,0.97704,1.63551,0.000311379,0.000311379,0.000311379
81,353.068,0.75286,0.62821,1.12217,0.79575,0.76774,0.77758,0.60346,1.15481,0.81507,1.64901,0.000297232,0.000297232,0.000297232
82,357.853,0.76316,0.64118,1.14524,0.81992,0.74992,0.78193,0.60358,1.17273,0.79158,1.65212,0.000283085,0.000283085,0.000283085
83,362.369,0.7844,0.65317,1.18412,0.78738,0.78863,0.80721,0.60776,1.20718,0.84263,1.72273,0.000268938,0.000268938,0.000268938
84,366.983,0.75694,0.63181,1.13686,0.77559,0.74117,0.77929,0.60693,1.23395,0.84857,1.7749,0.000254791,0.000254791,0.000254791
85,371.293,0.75271,0.63332,1.1377,0.78936,0.7967,0.79945,0.60933,1.275,0.87933,1.78537,0.000240644,0.000240644,0.000240644
86,376.035,0.70926,0.62652,1.11451,0.7933,0.80621,0.81004,0.60914,1.25079,0.90072,1.78451,0.000226497,0.000226497,0.000226497
87,380.566,0.77486,0.6355,1.1642,0.78374,0.80452,0.80685,0.61359,1.18523,0.87494,1.74166,0.000212349,0.000212349,0.000212349
88,385.059,0.70376,0.59403,1.11008,0.78909,0.79881,0.80691,0.60337,1.18129,0.86835,1.72929,0.000198202,0.000198202,0.000198202
89,389.139,0.74598,0.64015,1.14775,0.77925,0.81686,0.81379,0.61391,1.20995,0.87454,1.796,0.000184055,0.000184055,0.000184055
90,393.589,0.70617,0.60565,1.12088,0.76952,0.80655,0.80588,0.61572,1.30337,0.85954,1.92466,0.000169908,0.000169908,0.000169908
91,401.142,0.57989,0.4297,1.02905,0.7641,0.77935,0.79406,0.61305,1.22884,0.85646,1.81086,0.000155761,0.000155761,0.000155761
92,405.19,0.57699,0.423,1.01654,0.75826,0.77996,0.79796,0.61114,1.17467,0.81871,1.74581,0.000141614,0.000141614,0.000141614
93,409.213,0.54063,0.40247,1.01788,0.75595,0.806,0.80791,0.61544,1.19736,0.82896,1.74607,0.000127467,0.000127467,0.000127467
94,413.361,0.56767,0.40086,1.02963,0.772,0.76041,0.78514,0.60347,1.19456,0.82416,1.74424,0.00011332,0.00011332,0.00011332
95,417.413,0.53732,0.38869,1.01746,0.77793,0.7808,0.79567,0.61045,1.21825,0.81125,1.77492,9.91726e-05,9.91726e-05,9.91726e-05
96,421.449,0.52783,0.3801,1.00371,0.76637,0.78292,0.80238,0.61635,1.19381,0.81091,1.72863,8.50255e-05,8.50255e-05,8.50255e-05
97,425.945,0.5524,0.39932,1.04569,0.84158,0.71748,0.78894,0.61352,1.16548,0.79659,1.69177,7.08784e-05,7.08784e-05,7.08784e-05
98,430.008,0.5214,0.38137,0.99874,0.84536,0.71305,0.7833,0.61185,1.16139,0.80281,1.69243,5.67313e-05,5.67313e-05,5.67313e-05
99,434.053,0.52561,0.37782,1.00862,0.75255,0.78726,0.78672,0.61816,1.18201,0.79163,1.71771,4.25842e-05,4.25842e-05,4.25842e-05
100,438.491,0.51096,0.36101,0.98755,0.76906,0.77902,0.78943,0.61926,1.1563,0.78034,1.69977,2.84371e-05,2.84371e-05,2.84371e-05
